,时间,区县,离群CGI,小区分类,覆盖类型,覆盖场景,重点指标,指标离群值,指标小组最优值,离群小区流量,小组流量最优值
0,2017-06-11 00:00:00,闸北区,460-00-100131-3,下降,室外,城区道路,异系统切换比,0.000192,4.5e-05,2923093.299,27116028.069000002
1,2017-06-12 00:00:00,闸北区,460-00-100131-3,下降,室外,城区道路,异系统切换比,0.0002,4.5e-05,2968998.687,27116028.069000002
2,2017-06-13 00:00:00,闸北区,460-00-100131-3,下降,室外,城区道路,自_下行体验速率_Eutrancell,29.590503000000002,133.617871,2031729.678,24989292.209000006
3,2017-06-16 00:00:00,闸北区,460-00-100131-3,下降,室外,城区道路,异系统切换比,0.000286,4.5e-05,2445048.75,27116028.069000002
4,2017-06-16 00:00:00,闸北区,460-00-100131-3,下降,室外,城区道路,自_下行体验速率_Eutrancell,20.93325,113.233,2445048.75,27116028.069000002
5,2017-07-06 00:00:00,宝山区,460-00-101277-13,下降,室外,低层居民区,上行64QAM编码比例,0.0,0.015009999999999999,8800704.317,31988398.01600001
6,2017-07-07 00:00:00,宝山区,460-00-101277-13,下降,室外,低层居民区,上行64QAM编码比例,0.0,0.011835,8321499.614999997,31653301.539
7,2017-07-09 00:00:00,宝山区,460-00-101277-13,下降,室外,低层居民区,上行64QAM编码比例,0.0,0.01325,10299488.032,32309035.906
8,2017-06-16 00:00:00,奉贤区,460-00-101656-12,稳步上升,室外,企事业单位,上行64QAM编码比例,0.0,0.012513,4428990.452,22715950.641
9,2017-06-19 00:00:00,奉贤区,460-00-101656-12,稳步上升,室外,企事业单位,上行64QAM编码比例,0.0,0.004695,4847458.91,29334010.162
10,2017-06-20 00:00:00,奉贤区,460-00-101656-12,稳步上升,室外,企事业单位,上行64QAM编码比例,0.0,0.004695,5390727.234,29334010.162
11,2017-06-19 00:00:00,奉贤区,460-00-101672-12,稳步上升,室外,企事业单位,上行64QAM编码比例,0.0,0.00364,6592879.192000002,29800109.936
12,2017-06-20 00:00:00,奉贤区,460-00-101672-12,稳步上升,室外,企事业单位,上行64QAM编码比例,0.0,0.002068,6705948.862000002,33318825.891
13,2017-06-19 00:00:00,金山区,460-00-101892-12,下降,室外,低层居民区,异系统切换比,0.001333,0.000296,7429868.503,25702803.951
14,2017-06-19 00:00:00,金山区,460-00-101892-12,下降,室外,低层居民区,上行用户平均速率,0.37488499999999997,1.932432,7429868.503,25702803.951
15,2017-06-20 00:00:00,金山区,460-00-101892-12,下降,室外,低层居民区,异系统切换比,0.0019850000000000002,0.0003,7620660.83,28963629.955
16,2017-06-20 00:00:00,金山区,460-00-101892-12,下降,室外,低层居民区,上行用户平均速率,0.4109640000000001,1.761423,7620660.83,28963629.955
